Zip,IMR
78611,18.248175
78612,7.183908
78613,3.3643892
78614,
78615,
78616,7.3710074
78617,5.2185259
78618,
78619,
78620,0
78621,5.4095826
78622,
78623,
78624,7.0339975
78625,
78626,4.7233467
78627,
78628,3.3955858
78629,5.7224607
78630,
78631,
78632,
78633,
78634,3.569304
78635,
78636,
78638,
78639,
78640,1.9017433
78641,4.6948357
78642,8.7912092
78643,
78644,3.5885167
78645,
78646,
78648,8.5470085
78650,
78652,
78653,6.4412236
78654,8.4643288
78655,
78656,
78657,
78658,
78659,
78660,4.0241446
78661,
78662,
78663,
78664,4.5766592
78665,3.6960986
78666,5.0632911
78667,
78669,
78670,
78671,
78672,
78673,
78674,
78675,
78676,
78677,
78680,
78681,6.4360418
78683,
78684,
78685,
78687,
78691,
78701,
78702,5.5944057
78703,0
78704,4.9431539
78705,
78706,
78710,
78711,
78714,
78716,
78717,4.5132174
78719,
78720,
78721,4.7281322
78722,
78723,5.7542129
78724,6.6838045
78725,6.7720089
78726,3.2840722
78727,3.5928144
78728,1.8999367
78729,5.8616648
78730,
78731,2.7803521
78732,1.3869625
78733,
78734,2.7027028
78735,6.7796612
78736,
78737,0
78738,3.4542315
78739,6.2176166
78740,
78741,4.7363434
78742,
78743,
78744,4.9682584
78745,3.8314176
78746,1.2820513
78747,3.5746202
78748,3.0262272
78749,3.7333333
78750,1.7211704
78751,0
78752,3.1847134
78753,3.1159582
78754,6.2849164
78755,
78756,0
78757,4.477612
78758,5.4215236
78759,2.813731
78760,
78761,
78763,
78765,
78766,
78767,
78773,
78782,
78783,
78784,
78785,
78789,
78796,
78801,4.3165469
78802,
78821,
78827,
78828,
78829,
78830,
78832,
78833,
78834,6.6777964
78836,
78837,
78838,
78839,8.4175081
78840,3.1902552
78841,
78842,
78843,
78850,
78852,3.4746351
78853,
78860,
78861,3.1746032
78865,
78870,
78872,
78873,
78877,
78879,
78880,
78881,
78883,
78884,
78885,
78886,
78931,
78932,
78933,
78934,
78935,
78938,
78940,
78941,
78942,6.1983471
78943,
78944,
78945,2.2727273
78946,
78947,
78948,
78949,
78950,
78951,
78952,
78953,
78954,
78956,
78957,
78959,
78960,
78962,
78963,
79001,
79002,
79003,
79005,
79006,
79007,5.7603688
79008,
79009,
79010,
79011,
79012,
79013,
79014,
79015,4.4943819
79016,
79018,
79019,
79021,
79022,10.248902
79024,
79025,
79027,
79029,9.090909
79031,
79032,
79033,
79034,
79035,
79036,
79039,
79040,
79041,
79042,
79043,
79044,
79045,5.9215398
79046,
79051,
79052,
79053,
79054,
79056,
79057,
79058,
79059,
79061,
79062,
79063,
79064,
79065,10.252366
79066,
79068,
79070,1.4947683
79072,4.7619047
79073,
79076,
79078,
79079,
79080,
79081,
79082,
79083,
79084,
79085,
79086,
79087,
79088,
79091,
79092,
79093,
79094,
79095,
79096,
79097,
79098,
79101,
79102,6.729475
79103,9.8176718
79104,18.363939
79105,
79106,6.3547082
79107,7.360321
79108,3.1796503
79109,5.367465
79110,4.8661799
79111,
79114,
79116,
79117,
79118,7.4404764
79119,4.418262
79120,
79121,
79124,
79129,
79159,
79179,
79201,
79220,
79223,
79224,
79225,
79226,
79227,
79229,
79230,
79231,
79232,
79233,
79234,
79235,
79236,
79237,
79239,
79240,
79241,
79243,
79244,
79245,
79247,
79248,
79250,
79251,
79252,
79255,
79256,
79257,
79258,
79259,
79261,
79311,
79312,
79313,
79314,
79316,8.4151468
79322,
79323,8.2474222
79324,
79325,
79328,
79329,
79330,
79331,8.9153042
79336,6.0422959
79339,2.2624435
79342,
79343,
79344,
79345,
79346,
79347,4.6728973
79349,
79350,
79351,
79355,
79356,
79357,
79358,
79359,
79360,3.9246469
79363,
79364,2.3255813
79366,
79367,
79369,
79370,
79371,
79372,
79373,
79376,
79377,
79378,
79379,
79380,
79381,
79382,
79383,
79385,
79401,
79402,
79403,5.9347181
79404,6.4432988
79405,
79406,
79407,4.7664442
79408,
79409,
79410,0
79411,8.3056479
79412,6.25
79413,2.6525199
79414,4.1084633
79415,3.7523453
79416,3.7174721
79423,3.9408867
79424,3.0918727
79432,
79452,
79453,
79464,
79490,
79493,
79501,
79502,
79503,
79504,
79505,
79506,
79508,
79510,
79511,
79512,
79514,
79516,
79517,
79518,
79520,
79521,
79525,
79526,
79527,
79528,
79529,
79530,
79532,
79533,
79534,
79535,
79536,
79537,
79538,
79539,
79540,
79541,
79543,
79544,
79545,
79546,
79547,
79548,
79549,6.4377685
79550,
79553,
79556,1.3927577
79557,
79560,
79561,
79562,
79563,
79565,
79566,
79567,
79601,7.8431373
79602,8.2701588
79603,6.6489363
79604,
79605,8.2944527
79606,4.9645391
79607,
79608,
79697,
79699,
79701,7.1972904
79702,
79703,6.8280573
79704,
79705,5.2747254
79706,4.6783624
79707,2.282063
79708,
79710,
79711,
79712,
79713,
79714,4.7808766
79718,
79719,
79720,6.9484653
79721,
79730,
79731,
79733,
79734,
79735,5.2493439
79736,
79738,
79739,
79741,
79742,
79743,
79744,
79745,11.312217
79748,
79749,
79752,
79755,
79756,6.3391442
79758,
79760,
79761,6.0060062
79762,6.2962961
79763,4.4262853
79764,3.4324942
79765,0
79766,3.7878788
79767,
79768,
79769,
79770,
79772,3.0257187
79776,
79777,
79778,
79780,
79781,
79782,
79783,
79785,
79786,
79788,
79789,
79797,
79821,
79830,
79831,
79832,
79834,
79835,4.1152263
79836,2.4937656
79837,
79838,4.6153846
79839,
79842,
79843,
79844,
79845,
79846,
79847,
79848,
79849,5.8675609
79851,
79852,
79853,
79854,
79855,
79901,4.6296296
79902,5.4390054
79903,5.3333335
79904,4.2417817
79905,4.3173232
79906,6.2189054
79907,3.3975084
79908,
79909,
79911,
79912,3.5061357
79913,
79914,
79915,4.1000409
79916,
79917,
79918,
79920,
79922,
79924,5.7128019
79925,6.195787
79926,
79927,5.0743022
79928,2.7066929
79929,
79930,3.0287733
79931,
79932,6.3131313
79934,7.6997113
79935,5.9940062
79936,3.1332455
79938,4.1848965
79939,
79944,
79948,
79960,
79968,
79973,
79990,
79992,
79995,
79996,
88021,
